Id,y
14455,no
36380,no
40076,no
10778,no
27939,no
37546,no
27310,no
8377,no
40138,yes
20148,no
37959,no
16213,no
28763,no
24077,no
7334,no
7324,no
39198,yes
7690,no
8046,no
38884,yes
6010,no
40450,yes
7180,no
13773,no
28139,no
2061,no
5755,no
33233,no
24189,no
35903,no
24169,no
11580,no
2521,no
33403,no
1264,no
5682,no
1325,no
21894,no
23920,no
26259,no
16678,no
13397,no
10224,no
20509,no
8505,no
5446,no
9855,no
3923,no
24697,no
7063,no
7409,no
4362,no
658,no
9248,no
25232,no
33339,no
8713,no
1432,no
6977,no
5193,no
16161,no
5259,no
4484,no
25802,no
33437,no
18209,no
39307,no
13228,no
3114,no
19395,no
23903,no
23549,no
3237,no
26683,no
11975,no
19120,no
30880,no
35851,no
28008,yes
7875,no
41119,yes
29878,no
40397,no
6543,no
37278,no
22512,no
30088,no
40670,yes
16326,yes
10326,no
28129,no
31146,no
33486,no
32012,no
9827,no
16163,no
28806,no
38010,no
26933,yes
17323,no
39983,yes
18043,no
20487,no
25437,no
37582,yes
268,no
24324,no
14824,no
24214,yes
128,no
32067,no
2966,no
30195,yes
5729,no
17502,no
1940,no
2679,no
25881,no
17664,no
30307,no
7204,no
35072,yes
23091,no
18682,no
1570,no
446,yes
16556,no
38431,yes
34437,no
6386,no
160,no
17288,no
27350,no
21944,no
17308,no
5560,no
13834,yes
4898,no
34687,no
14654,no
36998,no
25645,no
23454,no
4254,no
13628,no
7368,no
4622,no
11500,no
14630,no
34920,no
40954,yes
1598,no
1562,no
975,no
40040,no
3882,no
22511,no
1090,no
10675,no
17159,no
10232,no
36848,no
37930,no
41112,no
7802,no
27435,no
22392,no
26625,no
4604,no
14886,no
41071,no
16686,no
28700,no
30482,no
1126,no
31220,no
28185,no
18611,no
9850,no
31346,no
36459,no
10942,no
25354,no
6167,no
40083,yes
9823,no
13509,no
9371,no
25030,no
6903,no
22163,no
8120,no
32031,yes
21424,no
15255,no
35587,no
289,no
33134,no
26622,yes
19511,no
28514,no
13906,no
17070,yes
24493,no
3425,no
15567,no
20903,no
31757,no
13378,no
5395,no
4894,no
18226,no
12392,no
8711,no
31191,no
13818,no
39572,no
627,no
24430,no
25265,no
38447,yes
25378,no
24542,no
13686,no
12324,no
14990,no
19114,no
37629,no
34399,yes
24136,no
21559,no
39743,no
1796,no
8100,no
9052,no
16155,no
10616,no
22738,no
6263,no
18221,no
16432,no
11868,no
39425,no
38069,yes
2579,no
33820,no
21529,no
26810,no
4098,no
25710,no
3570,yes
34357,no
31066,no
28498,yes
26760,no
5594,no
22091,no
36867,yes
10301,no
5094,no
12436,no
20296,yes
37918,no
6924,no
25228,no
18543,no
38902,no
5044,no
24744,no
5769,no
22268,no
6607,no
12839,no
16757,no
2747,no
17545,no
9907,yes
6130,no
14413,no
37516,no
32587,no
9547,yes
23992,no
16914,no
24906,no
37902,no
19233,no
30697,no
33402,no
34225,no
36756,no
27503,no
2122,no
28725,no
31921,no
37741,no
22629,no
9354,no
19432,no
34544,no
17992,no
40116,yes
17696,no
9431,no
24821,no
11107,no
17981,no
21297,no
32327,no
7577,no
22104,no
38452,yes
5788,no
18395,yes
16096,no
20879,no
16285,no
8064,no
31307,yes
28877,no
13738,no
7183,no
11507,no
14196,no
20575,no
29079,no
